HARRY POTTER E A PEDRA FILOSOFAL,Garoto descobre que é bruxo,Primeiro ano em escola mágica,Amizade, coragem e destino,Pedra misteriosa com poder de imortalidade,Vilão sem nariz,Trio inseparável,Coruja mensageira,Quadribol e magia,Casa Grifinória,Baseado nos livros de J.K. Rowling,
STRANGER THINGS,Crianças enfrentam monstros sobrenaturais,Pequena cidade dos anos 80,Garota com poderes telecinéticos,Mundo invertido,Referências à cultura pop dos anos 80,Amizade e coragem contra o mal,Laboratório secreto,Criatura chamada Demogorgon,Personagem chamada Eleven,Sucesso da Netflix,
O SENHOR DOS ANÉIS: A SOCIEDADE DO ANEL,Jornada para destruir um anel poderoso,Magos, elfos e hobbits,Paisagens épicas da Terra Média,Vilão chamado Sauron,Anel com escrita élfica,Personagem principal é Frodo,Mentor é Gandalf,Baseado na obra de Tolkien,Amizade e sacrifício,Trilogia premiada com Oscars,
VINGADORES: GUERRA INFINITA,Heróis se unem para lutar contra vilão cósmico,Joias do Infinito,Vilão quer equilibrar o universo,Heróis desaparecem com estalar de dedos,Homem de Ferro e Thor em destaque,Guardiões da Galáxia participam,Thanos é o antagonista principal,Filme da Marvel Studios,Continuação de Guerra Civil,Final impactante e triste,
BREAKING BAD,Professor de química vira criminoso,Negócios ilícitos com metanfetamina,Personagem principal usa chapéu e óculos escuros,Parceiro mais jovem e impulsivo,Carro velho e deserto,Personagem chamado Heisenberg,Relação conturbada com a esposa,Cenas intensas e tensão crescente,Spin-off chamado Better Call Saul,Considerada uma das melhores séries da história,
TITANIC,Romance trágico a bordo de um navio,Baseado em fatos reais,Desastre em 1912,Casal de classes sociais diferentes,Cenário congelante no oceano Atlântico,Personagens Jack e Rose,Direção de James Cameron,Canção tema famosa de Celine Dion,Navio colide com um iceberg,Vencedor de vários Oscars,
LA CASA DE PAPEL,Roubo planejado em larga escala,Personagens com nomes de cidades,Máscaras e macacões vermelhos,Líder chamado Professor,Invasão à Casa da Moeda da Espanha,Música ‘Bella Ciao’ como símbolo,Mistura de ação e drama,Personagem Tóquio é narradora,Série espanhola da Netflix,Sucesso global com várias temporadas,
O REI LEÃO,Filhote foge após tragédia com o pai,Reino animal na savana africana,Vilão invejoso e traiçoeiro,Amigos hilários chamados Timão e Pumba,Animação da Disney,Música ‘Hakuna Matata’,Tema de liderança e coragem,Ciclo da vida,Baseado em histórias de lealdade e superação,Teve remake em live action,
GAME OF THRONES,Disputa entre reinos por um trono,Baseada em livros de George R. R. Martin,Dragões e magia,Casamentos nem sempre felizes,Personagem chamada Daenerys,Muitos personagens morrem inesperadamente,Reinos e intrigas políticas,Frase famosa: ‘Winter is Coming’,Produção da HBO,Final controverso entre fãs,
DE VOLTA PARA O FUTURO,Viagem no tempo em um carro modificado,Doutor excêntrico e adolescente aventureiro,Carro DeLorean,Relâmpago e relógio da torre,Anos 50 e anos 80 em conflito,Mãe se apaixona pelo próprio filho sem saber,Frase: ‘Grande Scott!’,Trilogia clássica dos anos 80,Produzido por Steven Spielberg,Viagens temporais e paradoxos,
THE WITCHER,Caçador de monstros mutante,Espadas e magia,Baseado em livros poloneses,Personagem principal se chama Geralt de Rivia,Princesa Ciri e feiticeira Yennefer,Frase icônica: 'Hmm…',Netflix original,Cenários medievais sombrios,Criaturas e política se misturam,Base para jogos famosos,
O DIABO VESTE PRADA,Assistente entra em revista de moda exigente,Chefe fria e perfeccionista,Baseado em livro de mesmo nome,Figurinos icônicos e glamour,Nova-iorquino e sofisticado,Personagens Miranda e Andy,Comédia e drama profissional,Explora o mundo da moda e ambição,Atriz Meryl Streep em papel marcante,Frase icônica: ‘É tudo’,
O GAMBITO DA RAINHA,Garota órfã se torna prodígio do xadrez,Década de 1960,Temas de vício e genialidade,Personagem principal chamada Beth Harmon,Baseada em minissérie da Netflix,Cenas com tabuleiros e estratégias mentais,Foco psicológico e emocional,Roupa e estética vintage,Representação feminina no xadrez,Baseada em livro de Walter Tevis,
AVATAR: O CAMINHO DA ÁGUA,Continuação de um sucesso de 2009,Planeta Pandora e povos azuis,Direção de James Cameron,Família e natureza são temas centrais,Tecnologia 3D avançada,Elementos aquáticos e novos clãs,Batalhas entre humanos e Na’vi,Grande sucesso de bilheteria,Efeitos visuais impressionantes,Ambientação em oceanos de Pandora,
SHERLOCK,Detetive brilhante e excêntrico,Ambientada em Londres moderna,Baseada em histórias de Conan Doyle,Companheiro chamado Watson,Uso de dedução lógica e tecnologia,Ator Benedict Cumberbatch no papel principal,Vilão carismático chamado Moriarty,Série britânica com poucos episódios longos,Produção da BBC,Cenas cheias de enigmas e suspense,
INTERESTELAR,Exploração espacial em busca de novo lar,Direção de Christopher Nolan,Temas de tempo, gravidade e amor,Pai e filha separados por anos-luz,Buracos negros e dimensões temporais,Trilha sonora de Hans Zimmer,Naves e planetas inóspitos,Drama científico e filosófico,Atores Matthew McConaughey e Anne Hathaway,Plot twist com dimensões e tempo,
PEAKY BLINDERS,Gangue familiar na Inglaterra pós-guerra,Líder carismático chamado Thomas Shelby,Cenário de Birmingham dos anos 1920,Criminalidade e política,Estilo elegante e chapéus icônicos,Série britânica com estética sombria,Trilha sonora moderna e marcante,Personagem principal é frio e estratégico,Netflix disponibiliza todas as temporadas,Mistura de drama, ação e política,
